Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
184,keidsondesigner,486,0,13,91
185,vlady5lav,0,0,0,29
186,wilcorrea,812,0,18,110
187,atimilson,21,0,0,237
188,mahseema,82,4,3,9
189,accept96,0,0,0,2
190,fakenickels,18,13,11,168
191,saifurrehman4114,21,2,7,29
192,gvanrossum,244,68,142,25
193,mairatma,44,0,16,81
194,leanfj,246,0,3,125
195,kenjinote,841,21,5,588
196,8adre,0,0,0,490
197,AlvaroIsrael,20,1,17,39
198,juanplopes,128,0,0,88
199,d2alphame,179,1,14,39
200,JulianoPadilha,1,0,0,10
201,carlosandre-dev,38,0,0,6
202,YamRibas2004,0,0,0,14
203,pcho,288,0,0,26
204,nat,18,2,2,14
205,italocedrosales,26,0,1,76
206,vincentpanqi,0,0,0,1818
207,guisouza,0,0,0,52
208,souenzzo,72,8,2,166
209,otaviolemos,146,0,0,35
210,Creuma-Kuzola,5,0,0,57
211,TopCodeBeast,24,5,1,205
212,WelissonLuca,0,0,0,68
213,iturbides,30,0,0,14
214,hkjang,8,0,0,109
215,jaglux12,131,0,0,44
216,haomingz,1,0,1,21
217,piyushgarg-dev,377,40,39,131
218,EduardoJM,272,110,112,33
219,sdras,22,0,0,101
220,devrodrigues,0,0,0,36
221,simao-msjr,2,0,0,20
222,walacefex,421,0,0,119
223,arcane4096,0,0,0,1
224,abraaop,0,0,0,7
225,kentcdodds,2695,177,53,705
226,amaurycatelan,0,0,0,57
227,mxmnk,47,1,0,8
228,onlurking,5,1,3,67
229,ahmedalazazy,75,0,0,300
230,brunooomelo,323,42,22,21
231,srsouzaj,511,1,10,77
232,rafaabatistas,0,0,0,17
233,richhickey,0,0,0,9
234,me-no-dev,104,2,82,56
235,Zid95,258,0,1,31
236,vitorbritto,2,1,0,105
237,shunkakinoki,1104,101,917,345
238,ronenhamias,13,0,1,48
239,Lily57,0,0,0,1
240,Gabriellavoura,38,0,7,41
241,maykonmichel,31,1,1,50
242,EdmilsonFerreiraF,42,0,2,65
243,rjsamra,3,0,1,25
244,devdrops,147,11,8,338
245,dcramer,1298,86,57,216
246,Cassianosch,142,1,0,42
247,QidarSarhan,3,0,0,29
248,UrsaarDev,169,0,0,36
249,kehoecj,45,44,13,3
250,corasphinx,4,0,5,44
251,avelino,617,122,101,212
252,AXG-coder,44,1,0,11
253,FabianaCampanari,11527,736,5046,51
254,luisgs7,648,0,23,82
255,leosoares96,0,0,0,32
256,shuding,759,28,554,144
257,qiutian00,24,0,1,176
258,AISoltani,387,11,6,63
259,Magicianred,0,0,0,1722
260,swdreams,2,3,0,155
261,mwickerson,0,0,0,1
262,krapans,0,3,1,6
263,viniciuspatzer,0,1,0,19
264,matz,807,0,0,10
265,douglascorrea,83,1,1,67
266,rayanaprata,10,0,0,113
267,s3mPr1linux,20,0,0,143
268,robsonsilv4,43,1,6,76
269,tavareshenrique,445,2,2,138
270,tiagonevestia,2,0,0,33
271,vagnercardosoweb,184,0,2,32
272,izepon,17,0,0,33
273,guiireal,182,5,0,629
274,marcglasberg,162,6,0,27
275,SOHELAHMED7,264,33,49,94
276,evandojunior,0,0,0,97
277,lilaroky,0,0,0,12
278,SenkuXP,0,0,0,0
279,JeffersonRPM,289,0,64,26
280,systbs,23,0,0,8
281,brunodesde1987,26,0,4,13
282,peter-kimanzi,913,1,11,106
283,springmeyer,1,0,1,116
